title,description,price,count
AWS Book1,AWS Book1 Description,1,1
AWS Book2,AWS Book2 Description,2,2
AWS Book3,AWS Book3 Description,3,3
AWS Book4,AWS Book4 Description,4,4
AWS Book5,AWS Book5 Description,5,5
AWS Book6,AWS Book6 Description,6,6
AWS Book7,AWS Book7 Description,7,7
AWS Book8,AWS Book8 Description,8,8
AWS Book9,AWS Book9 Description,9,9
AWS Book10,AWS Book10 Description,10,10
AWS Book11,AWS Book11 Description,11,11
AWS Book11,AWS Book12 Description,12,12
AWS Book11,AWS Book12 Description,price,count
